epoch,step,test_dataset_iou,test_per_image_iou,train_dataset_iou,train_per_image_iou,valid_dataset_iou,valid_per_image_iou
0,11,,,,,0.520906925201416,0.2456214427947998
0,11,,,0.21129103004932404,0.2370157092809677,,
1,23,,,,,0.5850979685783386,0.314372181892395
1,23,,,0.5153454542160034,0.362101286649704,,
2,35,,,,,0.5630958080291748,0.41674888134002686
2,35,,,0.5785214900970459,0.4252425730228424,,
3,47,,,,,0.683066725730896,0.4811047911643982
3,47,,,0.6286001205444336,0.46820494532585144,,
4,59,,,,,0.6779640913009644,0.4697515070438385
4,59,,,0.6543633341789246,0.5169996619224548,,
5,71,,,,,0.7245539426803589,0.553109884262085
5,71,,,0.7020322680473328,0.5362349152565002,,
6,83,,,,,0.7803338766098022,0.6200942993164062
6,83,,,0.7138338088989258,0.5660306811332703,,
7,95,,,,,0.7464957237243652,0.6172323822975159
7,95,,,0.7418171167373657,0.5850237607955933,,
8,107,,,,,0.7912822961807251,0.5834051966667175
8,107,,,0.7410049438476562,0.5891765356063843,,
9,119,,,,,0.8063551187515259,0.6419913172721863
9,119,,,0.7632430791854858,0.6283652782440186,,
10,131,,,,,0.7979442477226257,0.6116121411323547
10,131,,,0.769435703754425,0.631627082824707,,
11,143,,,,,0.8159191608428955,0.6582825779914856
11,143,,,0.7747017741203308,0.6426090002059937,,
12,155,,,,,0.8012587428092957,0.651013970375061
12,155,,,0.7967957258224487,0.6706061363220215,,
13,167,,,,,0.8073237538337708,0.645093560218811
13,167,,,0.7780591249465942,0.6449909806251526,,
14,179,,,,,0.8071388602256775,0.6478387713432312
14,179,,,0.7984086871147156,0.6604321599006653,,
15,191,,,,,0.8176069855690002,0.6645526885986328
15,191,,,0.798054575920105,0.6782371997833252,,
16,203,,,,,0.816620409488678,0.6634083390235901
16,203,,,0.7925654053688049,0.6658080816268921,,
17,215,,,,,0.813331127166748,0.6602302193641663
17,215,,,0.7999971508979797,0.6793904304504395,,
18,227,,,,,0.8111754655838013,0.646880567073822
18,227,,,0.8017433881759644,0.6738625168800354,,
19,239,,,,,0.8119110465049744,0.6472662687301636
19,239,,,0.7995026111602783,0.6750971078872681,,
20,240,,,,,0.8119110465049744,0.6472662687301636
20,240,0.7940330505371094,0.6724201440811157,,,,
