Date;TMoy (°C)
2022-04-08;11,02
2022-04-07;13,12
2022-04-06;10,42
2022-04-05;10,62
2022-04-04;4,15
2022-04-03;4,47
2022-04-02;5,3
2022-04-01;4,08
2022-03-31;6,38
2022-03-30;10,98
2022-03-29;13,1
2022-03-28;14,32
2022-03-27;14,22
2022-03-26;13,85
2022-03-25;13,65
2022-03-24;10,98
2022-03-23;10,25
2022-03-22;11,32
2022-03-21;12,77
2022-03-20;10,73
2022-03-19;11,05
2022-03-18;9,48
2022-03-17;8,73
2022-03-16;12,02
2022-03-15;12,68
2022-03-14;9,57
2022-03-13;9,6
2022-03-12;10,12
2022-03-11;10,52
2022-03-10;11,98
2022-03-09;11,22
2022-03-08;7,62
2022-03-07;4,47
2022-03-06;7,88
2022-03-05;6,6
2022-03-04;9,57
2022-03-03;10,32
2022-03-02;11,4
2022-03-01;11,42
2022-02-28;9,17
2022-02-27;7,55
2022-02-26;6,12
2022-02-25;5,82
2022-02-24;9,18
2022-02-23;10,07
2022-02-22;9,32
2022-02-21;9,73
2022-02-20;11,1
2022-02-19;6,82
2022-02-18;10,28
2022-02-17;13
2022-02-16;11,6
2022-02-15;7,38
2022-02-14;9,25
2022-02-13;5,88
2022-02-12;4,85
2022-02-11;4
2022-02-10;8,22
2022-02-09;7,02
2022-02-08;6,62
2022-02-07;9,3
2022-02-06;9,05
2022-02-05;4,95
2022-02-04;9,07
2022-02-03;7
2022-02-02;8,95
2022-02-01;6,85
2022-01-31;8,4
2022-01-30;8,72
2022-01-29;8,02
2022-01-28;6,2
2022-01-27;3,7
2022-01-26;0,92
2022-01-25;0,18
2022-01-24;2,8
2022-01-23;3,62
2022-01-22;1,62
2022-01-21;3,78
2022-01-20;5,33
2022-01-19;6,15
2022-01-18;4,18
2022-01-17;4,58
2022-01-16;3,12
2022-01-15;-0,33
2022-01-14;0,78
2022-01-13;5,85
2022-01-12;3,12
2022-01-11;7,32
2022-01-10;8,07
2022-01-09;7,55
2022-01-08;9,08
2022-01-07;7,5
2022-01-06;3,18
2022-01-05;4,65
2022-01-04;9,28
2022-01-03;12,2
2022-01-02;11,92
2022-01-01;10,3
2021-12-31;9,65
2021-12-30;14,45
2021-12-29;12,42
2021-12-28;12,08
2021-12-27;11,98
2021-12-26;11,18
2021-12-25;10
2021-12-24;8,93
2021-12-23;5,62
2021-12-22;0,25
2021-12-21;2,8
2021-12-20;4,18
2021-12-19;4,65
2021-12-18;6,18
2021-12-17;7,18
2021-12-16;8
2021-12-15;5,62
2021-12-14;5,75
2021-12-13;8,75
2021-12-12;10,38
2021-12-11;6,43
2021-12-10;7,8
2021-12-09;5,15
2021-12-08;5,32
2021-12-07;7
2021-12-06;6,48
2021-12-05;6,3
2021-12-04;8,88
2021-12-03;5,5
2021-12-02;5,25
2021-12-01;9,7
2021-11-30;5,22
2021-11-29;3,78
2021-11-28;4,73
2021-11-27;4,32
2021-11-26;5,28
2021-11-25;2,55
2021-11-24;5,1
2021-11-23;5,45
2021-11-22;6,6
