                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1457,                0.93705,                 1.1382,                0.69934,                0.68368,                0.70384,                0.43493,                 1.4726,                 1.1619,                  1.337,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.1455,                0.92357,                 1.1153,                0.68622,                0.61032,                0.65363,                0.39192,                 1.4731,                 1.3843,                 1.3604,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.1767,                0.92466,                 1.1298,                0.74567,                0.59056,                0.66001,                0.38914,                 1.4976,                 1.2407,                 1.3644,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.1302,                0.90356,                 1.1111,                0.71651,                0.66818,                0.70139,                0.42722,                 1.4607,                 1.2351,                 1.3344,             0.00058503,             0.00058503,             0.00058503
                     38,                  1.114,                0.86752,                 1.1023,                0.76568,                 0.6082,                 0.6648,                0.39179,                   1.51,                 1.2969,                 1.3821,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.1643,                0.90032,                 1.1246,                 0.7924,                0.55425,                0.66598,                0.39246,                 1.5118,                  1.215,                 1.3863,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.1311,                0.88101,                 1.1153,                0.70395,                 0.6522,                0.68505,                0.40868,                 1.4734,                 1.2024,                 1.3392,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.1117,                0.86877,                   1.09,                0.74549,                0.56916,                 0.6875,                0.39523,                 1.4935,                 1.2111,                 1.3615,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.1168,                0.84466,                 1.0968,                0.77129,                0.59119,                0.66979,                0.39336,                 1.4769,                 1.2717,                  1.363,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.1039,                0.83371,                 1.0927,                0.70709,                 0.6833,                0.69063,                0.41117,                 1.4715,                 1.1819,                 1.3469,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.0973,                0.83828,                  1.096,                0.77222,                0.64727,                0.69989,                0.42492,                 1.4627,                 1.1778,                 1.3601,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.1027,                0.84216,                 1.1017,                0.75719,                0.65227,                 0.7125,                0.42602,                  1.465,                 1.1227,                 1.3483,             0.00051304,             0.00051304,             0.00051304
                     46,                 1.0948,                0.82064,                 1.0828,                0.79011,                0.64086,                0.69724,                0.41375,                 1.4776,                 1.2127,                 1.3602,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.0745,                0.81234,                 1.0813,                0.76679,                0.66196,                 0.7187,                0.43393,                  1.463,                 1.1472,                 1.3535,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.0531,                0.78183,                 1.0789,                0.78441,                0.63698,                0.72459,                0.44293,                   1.46,                 1.1332,                  1.349,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.0646,                0.79141,                 1.0767,                0.79959,                0.68065,                0.73022,                0.44269,                 1.4687,                 1.1294,                  1.362,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.0613,                0.77815,                 1.0781,                0.76252,                0.69188,                0.73717,                 0.4508,                 1.4701,                 1.1404,                 1.3436,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.0664,                0.78422,                 1.0797,                 0.7154,                0.65616,                0.69953,                0.42761,                 1.4402,                 1.1999,                 1.3385,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.0361,                0.77863,                 1.0698,                0.81305,                 0.6923,                 0.7585,                0.44722,                 1.4514,                 1.1058,                 1.3425,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.0267,                0.74453,                 1.0557,                0.78585,                0.71334,                0.75499,                0.44803,                 1.4694,                 1.0911,                 1.3568,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.0212,                 0.7474,                 1.0611,                0.75477,                0.66459,                0.72654,                0.43219,                 1.4675,                 1.1169,                 1.3471,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.0262,                0.73452,                  1.059,                0.79633,                0.64336,                0.71643,                0.42105,                 1.4993,                 1.1617,                  1.381,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.0082,                  0.722,                 1.0515,                0.71443,                0.69371,                0.71605,                0.42204,                 1.4865,                 1.1402,                 1.3664,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.0617,                0.72911,                 1.0659,                0.71459,                0.65682,                 0.6953,                0.41906,                 1.4908,                 1.1943,                 1.3674,             0.00040505,             0.00040505,             0.00040505
                     58,                0.99271,                0.71756,                 1.0415,                0.80568,                0.65243,                 0.7206,                0.44367,                 1.4643,                 1.1297,                 1.3498,             0.00039605,             0.00039605,             0.00039605
                     59,                0.99383,                0.70637,                 1.0512,                0.74837,                0.71261,                0.73802,                0.44822,                 1.4604,                 1.1074,                 1.3588,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.0034,                0.70916,                 1.0499,                 0.7796,                  0.679,                 0.7278,                0.44531,                 1.4635,                 1.1665,                 1.3643,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.0146,                0.71643,                 1.0544,                 0.8013,                0.66307,                0.73362,                0.45082,                 1.4521,                 1.1601,                 1.3385,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.0189,                0.71597,                 1.0375,                0.77594,                0.68598,                0.74564,                0.46092,                 1.4441,                 1.1124,                 1.3383,             0.00036005,             0.00036005,             0.00036005
                     63,                0.95503,                0.67206,                 1.0347,                  0.799,                0.68583,                0.73398,                0.45402,                 1.4455,                 1.1758,                 1.3396,             0.00035106,             0.00035106,             0.00035106
                     64,                0.97917,                0.69678,                 1.0438,                0.75515,                0.69556,                 0.7308,                0.44307,                 1.4405,                 1.1611,                 1.3421,             0.00034206,             0.00034206,             0.00034206
                     65,                0.99094,                0.69273,                 1.0376,                0.75929,                0.69692,                 0.7363,                0.45303,                 1.4495,                  1.139,                 1.3475,             0.00033306,             0.00033306,             0.00033306
                     66,                0.95611,                0.66549,                 1.0251,                0.80365,                0.69545,                 0.7325,                0.44157,                 1.4649,                  1.109,                 1.3548,             0.00032406,             0.00032406,             0.00032406
                     67,                0.95467,                0.66343,                 1.0232,                0.80706,                0.68025,                0.74442,                0.45213,                 1.4758,                  1.089,                 1.3648,             0.00031506,             0.00031506,             0.00031506
                     68,                0.95157,                0.66123,                 1.0281,                0.76941,                0.69344,                0.73488,                0.45602,                   1.47,                 1.1203,                 1.3668,             0.00030606,             0.00030606,             0.00030606
                     69,                0.94822,                0.65793,                 1.0386,                 0.7961,                0.66184,                0.72744,                0.44093,                 1.4589,                 1.1274,                 1.3553,             0.00029706,             0.00029706,             0.00029706
                     70,                0.96765,                0.66688,                 1.0276,                0.76595,                0.68426,                0.73092,                0.44207,                 1.4727,                 1.1103,                 1.3649,             0.00028806,             0.00028806,             0.00028806
                     71,                0.94255,                0.64193,                 1.0138,                0.76483,                0.67806,                0.72944,                0.44845,                 1.4807,                 1.1517,                 1.3688,             0.00027906,             0.00027906,             0.00027906
