Commune;Quartier;Identifiant;Code commune;Géométrie
Vertou;La Grammoire / La Vertonne;21511;440215.0;"{""coordinates"": [[[-1.46009562371846, 47.1791641747749], [-1.46120828115946, 47.1786972621475], [-1.4616666123523, 47.1785497563689], [-1.4626861576930499, 47.1780088942846], [-1.46343107138088, 47.1774941043498], [-1.46364700655398, 47.1775457928679], [-1.46391346592238, 47.1776021185891], [-1.46531325729592, 47.1779394220646], [-1.46675102900744, 47.1782161021309], [-1.46789909796523, 47.1783527363248], [-1.46943541309524, 47.1783930429571], [-1.47002525117034, 47.1783676994331], [-1.47039244093769, 47.1783617791228], [-1.47112943696706, 47.1784238831232], [-1.4719771704837599, 47.178560857295], [-1.4729735065771399, 47.1788165697402], [-1.47380655707578, 47.1789846380573], [-1.4746774764282, 47.1790648054277], [-1.47490032090983, 47.1790611249913], [-1.47542140412644, 47.1790997236552], [-1.48538873260642, 47.1789482399774], [-1.48762565299602, 47.1790263923471], [-1.49203680731845, 47.1793031778828], [-1.49687890885533, 47.1798160187667], [-1.49640604736873, 47.1806341504491], [-1.49464995622106, 47.1840464361531], [-1.49401822556787, 47.1851396739925], [-1.49353384497682, 47.1859660991569], [-1.49353327199126, 47.1859676443471], [-1.4927453187242201, 47.1880448107729], [-1.49258105865258, 47.1880363823122], [-1.49250862557794, 47.188035275965], [-1.49227934935678, 47.1880317748142], [-1.49111266050988, 47.1879476662266], [-1.49074385568507, 47.187914073132], [-1.4901949621253099, 47.1878640739157], [-1.48865509031992, 47.1877635833981], [-1.48776441945288, 47.1877010157194], [-1.4867920653112399, 47.187631238738], [-1.48640247075964, 47.1876053167068], [-1.48597298482201, 47.1875768823452], [-1.4846065698994, 47.1874830497014], [-1.48374343002261, 47.187431233251], [-1.48373940761135, 47.1874309921109], [-1.48364130116838, 47.1874251452367], [-1.48296653905523, 47.1873755456052], [-1.48195418909121, 47.1873034003783], [-1.48058194516809, 47.1872108283531], [-1.47908548659224, 47.1870974040515], [-1.47888342130592, 47.1870820869118], [-1.47838356182945, 47.1870479087544], [-1.47838339037921, 47.1870478974228], [-1.47836553486051, 47.1870466766417], [-1.47760487405979, 47.1869946899763], [-1.47694894692985, 47.1869487447926], [-1.4767211753624099, 47.1869328505754], [-1.47575197422631, 47.1868655650016], [-1.47506963584286, 47.1868144038954], [-1.47490863945586, 47.1868023317066], [-1.47412768506439, 47.1867495735507], [-1.47340182519777, 47.1867008126018], [-1.47340173610497, 47.1867008061625], [-1.4709155769973599, 47.1865252322061], [-1.47091548124309, 47.1865252251233], [-1.46834390285144, 47.1863507309451], [-1.4683428700738501, 47.1863506612229], [-1.46833912600339, 47.1863504429535], [-1.46655612088794, 47.1862465202074], [-1.46419300700616, 47.1861079625403], [-1.46350873763661, 47.1860703222023], [-1.46339522396735, 47.1860640779209], [-1.46203041301433, 47.1859870630022], [-1.4620303040884601, 47.1859870564242], [-1.46089947888691, 47.1859145198756], [-1.46036886124238, 47.1858879063387], [-1.45950419731453, 47.1858380980537], [-1.45918345268474, 47.1858046525382], [-1.45537734463383, 47.1854791402825], [-1.45500692403283, 47.1854609509562], [-1.45505824122772, 47.1851238804373], [-1.45512694823248, 47.1846894045119], [-1.45537265907081, 47.1840028681754], [-1.45583075742409, 47.1834353387348], [-1.45742053612102, 47.1813126087077], [-1.4582215004305499, 47.1805025820471], [-1.45879949234777, 47.1799929629781], [-1.45930884737669, 47.1796146639217], [-1.46009562371846, 47.1791641747749]]], ""type"": ""Polygon""}"
Nantes;Ile de Nantes;6;440109.0;"{""coordinates"": [[[-1.5184907269496, 47.2105430686374], [-1.52091683903228, 47.2085375296474], [-1.52094046182945, 47.2085194741908], [-1.52094055115816, 47.208519404897], [-1.52263228472136, 47.2072219492939], [-1.52394546816605, 47.2063898650236], [-1.5239478472099002, 47.2063883575373], [-1.52767275743262, 47.2047276660109], [-1.53014934848068, 47.2036233221317], [-1.53042220079054, 47.2035017054882], [-1.5304248847319, 47.2035004444293], [-1.53042771446365, 47.2034993587315], [-1.5349321496625001, 47.2016816060381], [-1.53410723932868, 47.2007202863366], [-1.53426522229266, 47.2006443662805], [-1.53410722749692, 47.2004569289358], [-1.5342573400428101, 47.2004000978587], [-1.5344117574765601, 47.200574595531], [-1.53450669909487, 47.2005315063549], [-1.53536114810711, 47.2015320919299], [-1.53536215573207, 47.2015332289199], [-1.5354573842538501, 47.2014940923614], [-1.5429476489634, 47.1991905195449], [-1.54351794462172, 47.2000992881092], [-1.5436333994473301, 47.2000676600002], [-1.54385940059508, 47.2000096112382], [-1.5439545033009199, 47.2001493466919], [-1.54404319696959, 47.2002243594551], [-1.54420702675651, 47.2001782210241], [-1.5440059310743002, 47.1999654976002], [-1.5441460094049901, 47.1999271852287], [-1.5435208925364599, 47.1990243184186], [-1.5451411018766898, 47.1985986717037], [-1.54630520609587, 47.1983546377178], [-1.5484321020717902, 47.198090204478], [-1.54843524547238, 47.1980898276441], [-1.54843534723299, 47.1980898272169], [-1.54843600228931, 47.198091261007], [-1.54964466352287, 47.1980792795176], [-1.55445733793307, 47.1980311877253], [-1.55481442477183, 47.1980279552694], [-1.55498268217602, 47.1980270990396], [-1.55498435909269, 47.1980270901779], [-1.55511965640969, 47.1980264015518], [-1.55512853710347, 47.198026593456], [-1.55727158087545, 47.198033661282], [-1.5572737694460899, 47.1980336681203], [-1.55759701189079, 47.198034729595], [-1.56317641598208, 47.19805355964], [-1.5638167813611, 47.1980550897937], [-1.56543532712131, 47.1980585201036], [-1.56618994419285, 47.1980608506445], [-1.56718621206829, 47.1980622958215], [-1.56774096181445, 47.198065199637], [-1.5690931685708, 47.1980685409279], [-1.5698159318173799, 47.198069669821], [-1.5706141939607399, 47.1980717812453], [-1.5708528899229002, 47.1980719118482], [-1.57086056359954, 47.1980718243998], [-1.57120263794514, 47.1980679267265], [-1.57144249942816, 47.1980620345667], [-1.57157087751836, 47.1980588807873], [-1.5721422320248601, 47.1980438832299], [-1.5727442187165401, 47.198014145486], [-1.57378468703254, 47.1979612140476], [-1.57396480065531, 47.1979523813105], [-1.57403302874499, 47.1979469147349], [-1.5741269634859099, 47.1979393885701], [-1.57425522580012, 47.19792468258], [-1.5743658310606499, 47.1979120009706], [-1.57469058830336, 47.1978630920353], [-1.57483387859316, 47.1978407769688], [-1.5756474587895402, 47.1977140704886], [-1.5767062813174602, 47.1975504580668], [-1.57725040617232, 47.1974674343174], [-1.5775421717496299, 47.1974102628317], [-1.57782191627722, 47.1973642073379], [-1.5780112896760201, 47.1973413851791], [-1.57827535984865, 47.1973008185945], [-1.57827797984021, 47.1973016620656], [-1.57827978221497, 47.197304316003], [-1.57827825453502, 47.1973046157147], [-1.57827512917017, 47.1973052620833], [-1.57827368551856, 47.1973072029429], [-1.57262778126583, 47.2046486851936], [-1.57216913795212, 47.2051406184923], [-1.57120495066092, 47.2059748428046], [-1.57102211257743, 47.2060846220816], [-1.56930345586724, 47.2071162595749], [-1.5693010491289598, 47.2071176925586], [-1.56929822131414, 47.2071187791599], [-1.56757319037793, 47.207768531584], [-1.5672411808612, 47.2078937153647], [-1.56606051433375, 47.2083383809204], [-1.56570134591442, 47.2084736669433], [-1.56325067140343, 47.2091354892502], [-1.56202743844932, 47.2091689464892], [-1.56115270026708, 47.2089639031319], [-1.56114937090982, 47.2089635659109], [-1.55008589842703, 47.2076801122133], [-1.54890172147651, 47.2079015276162], [-1.54889859011067, 47.2079020832761], [-1.54889574783538, 47.2079029897154], [-1.53871131640603, 47.2112353132873], [-1.53870898852592, 47.21123602162], [-1.5349612438168099, 47.2118417565214], [-1.53383885512533, 47.211917909738], [-1.53383569677711, 47.2119181056119], [-1.53383240663451, 47.2119183066888], [-1.53296676230089, 47.2119714188783], [-1.52986265388467, 47.2123175076385], [-1.5267250171589901, 47.2128148667369], [-1.52589899701078, 47.2130399759218], [-1.52589601728691, 47.2130407970762], [-1.52589303616871, 47.2130416173843], [-1.52039461927971, 47.2145618704863], [-1.52039163799212, 47.2145626906515], [-1.52038879487827, 47.2145635963845], [-1.51865662426963, 47.2151140261878], [-1.51491498099189, 47.2164481536026], [-1.51153982787554, 47.2168072785205], [-1.51153681360291, 47.2168076492178], [-1.51153785472944, 47.2168064342575], [-1.51262412412303, 47.2155380941027], [-1.51262937371538, 47.21553196345], [-1.5143426800942201, 47.2135313441405], [-1.51504505686167, 47.2129893776997], [-1.51563001461801, 47.2125380015397], [-1.5156313738374099, 47.2125369533357], [-1.5184907269496, 47.2105430686374]]], ""type"": ""Polygon""}"
