idCompteur;idQuartier
664;1
665;1
666;1
667;6
668;6
669;6
670;11
672;6
673;6
674;1
675;1
676;5
677;5
679;5
680;5
681;5
682;3
683;1
700;10
701;10
725;5
727;5
742;1
743;1
744;1
745;1
746;4
747;4
785;1
786;1
787;1
788;1
847;6
880;1
881;1
890;11
943;1
944;1
945;1
946;1
949;14304
950;14304
959;14307
960;14307
980;5
981;5
994;1
995;1
996;4
997;4
1041;8
1042;8
